都道府県,選挙区,当選政党,自民,立民,公明,共産,維新,国民,れ新,社民,第一,Ｎ党,諸派,やまと,無
青森,青森1区,自民,52.41,37.35,,10.24,,,,,,,,,
青森,青森2区,自民,61.53,32.15,,6.32,,,,,,,,,
青森,青森3区,自民,64.95,35.05,,,,,,,,,,,
北海道,北海道1区,立民,41.0,45.33,,,13.66,,,,,,,,
北海道,北海道2区,立民,37.93,44.71,,,17.36,,,,,,,,
北海道,北海道3区,自民,44.66,42.99,,,12.35,,,,,,,,
北海道,北海道4区,自民,50.16,49.84,,,,,,,,,,,
北海道,北海道5区,自民,50.6,40.26,,6.06,,,,,,,,,3.08
北海道,北海道6区,自民,55.5,40.29,,,,,,,,4.22,,,
北海道,北海道7区,自民,58.01,32.71,,9.27,,,,,,,,,
北海道,北海道8区,立民,47.32,52.68,,,,,,,,,,,
北海道,北海道9区,立民,48.49,51.51,,,,,,,,,,,
北海道,北海道10区,公明,,46.07,53.93,,,,,,,,,,
北海道,北海道11区,立民,48.25,51.75,,,,,,,,,,,
北海道,北海道12区,自民,58.43,33.11,,8.46,,,,,,,,,
岩手,岩手1区,立民,36.87,51.19,,11.94,,,,,,,,,
岩手,岩手2区,自民,67.99,30.4,,,,,,,,1.62,,,
岩手,岩手3区,自民,52.05,47.95,,,,,,,,,,,
宮城,宮城1区,自民,43.42,41.16,,,9.81,,,,,,,,5.61
宮城,宮城2区,立民,48.72,48.96,,,,,,,,2.32,,,
宮城,宮城3区,自民,59.27,37.11,,,,,,,,,,,3.63
宮城,宮城4区,自民,56.51,,,22.73,20.76,,,,,,,,
宮城,宮城5区,立民,43.11,56.89,,,,,,,,,,,
宮城,宮城6区,自民,83.24,,,16.76,,,,,,,,,
秋田,秋田1区,自民,51.86,48.14,,,,,,,,,,,
秋田,秋田2区,立民,47.46,52.54,,,,,,,,,,,
秋田,秋田3区,自民,77.95,,,22.05,,,,,,,,,
山形,山形1区,自民,59.97,40.03,,,,,,,,,,,
山形,山形2区,自民,61.84,,,,,38.16,,,,,,,
山形,山形3区,自民,58.06,,,6.47,,,,,,,,,35.47
茨城,茨城1区,無,47.95,,,,,,,,,,,,52.05
茨城,茨城2区,自民,64.46,35.54,,,,,,,,,,,
茨城,茨城3区,自民,53.59,31.18,,,15.23,,,,,,,,
茨城,茨城4区,自民,70.47,,,11.49,18.05,,,,,,,,
茨城,茨城5区,国民,42.57,,,6.37,,48.49,,,,,,,2.57
茨城,茨城6区,自民,52.54,47.46,,,,,,,,,,,
茨城,茨城7区,自民,46.51,44.31,,,9.18,,,,,,,,
福島,福島1区,立民,48.85,51.15,,,,,,,,,,,
福島,福島2区,自民,54.55,45.45,,,,,,,,,,,
福島,福島3区,立民,45.76,54.24,,,,,,,,,,,
福島,福島4区,立民,49.04,50.96,,,,,,,,,,,
福島,福島5区,自民,62.66,,,37.34,,,,,,,,,
栃木,栃木1区,自民,46.15,29.92,,4.21,19.71,,,,,,,,
栃木,栃木2区,立民,46.61,53.39,,,,,,,,,,,
栃木,栃木3区,自民,67.42,32.58,,,,,,,,,,,
栃木,栃木4区,自民,51.1,48.9,,,,,,,,,,,
栃木,栃木5区,自民,77.36,,,22.64,,,,,,,,,
群馬,群馬1区,自民,56.32,,,9.66,21.72,,,,,,,,12.3
群馬,群馬2区,自民,54.03,30.62,,,,,,,,,,,15.34
群馬,群馬3区,自民,54.63,42.99,,,,,,,,2.37,,,
群馬,群馬4区,自民,65.02,34.98,,,,,,,,,,,
群馬,群馬5区,自民,76.59,,,23.41,,,,,,,,,
千葉,千葉1区,立民,43.73,56.27,,,,,,,,,,,
千葉,千葉2区,自民,62.04,28.21,,9.75,,,,,,,,,
千葉,千葉3区,自民,61.87,38.13,,,,,,,,,,,
千葉,千葉4区,立民,35.45,64.55,,,,,,,,,,,
千葉,千葉5区,自民,46.97,29.31,,,13.52,10.19,,,,,,,
千葉,千葉6区,自民,42.48,,,17.07,25.68,,,,,,,,14.77
千葉,千葉7区,自民,54.99,30.63,,,12.33,,,,,2.05,,,
千葉,千葉8区,立民,36.0,59.65,,,,,,,,,,,4.35
千葉,千葉9区,立民,48.91,51.09,,,,,,,,,,,
千葉,千葉10区,自民,47.29,45.68,,,,,,,,,5.8,,1.23
千葉,千葉11区,自民,64.44,,,17.81,,,17.74,,,,,,
千葉,千葉12区,自民,64.01,29.48,,6.51,,,,,,,,,
千葉,千葉13区,自民,45.07,35.83,,,19.1,,,,,,,,
埼玉,埼玉1区,自民,47.58,38.07,,,9.32,,,,,,,,4.54
埼玉,埼玉2区,自民,52.78,,,22.33,24.89,,,,,,,,
埼玉,埼玉3区,自民,53.63,43.15,,,,,,,,3.22,,,
埼玉,埼玉4区,自民,52.26,,,17.02,,23.35,,,,,,,5.72
埼玉,埼玉5区,立民,48.62,51.38,,,,,,,,,,,
埼玉,埼玉6区,立民,43.98,56.02,,,,,,,,,,,
埼玉,埼玉7区,自民,44.21,41.73,,,14.06,,,,,,,,
埼玉,埼玉8区,自民,51.61,,,,,,,,,,,,48.39
埼玉,埼玉9区,自民,53.37,36.84,,9.79,,,,,,,,,
埼玉,埼玉10区,自民,51.59,48.41,,,,,,,,,,,
埼玉,埼玉11区,自民,61.94,27.2,,10.87,,,,,,,,,
埼玉,埼玉12区,立民,48.97,51.03,,,,,,,,,,,
埼玉,埼玉13区,自民,49.41,42.46,,8.12,,,,,,,,,
埼玉,埼玉14区,自民,51.56,,,14.82,,33.62,,,,,,,
埼玉,埼玉15区,自民,45.87,32.35,,,21.78,,,,,,,,
三重,三重1区,自民,63.09,33.15,,,,,,,,3.77,,,
三重,三重2区,自民,50.23,49.77,,,,,,,,,,,
三重,三重3区,立民,35.95,64.05,,,,,,,,,,,
三重,三重4区,自民,72.36,23.22,,4.43,,,,,,,,,
静岡,静岡1区,自民,52.35,27.74,,,9.08,10.83,,,,,,,
静岡,静岡2区,自民,61.11,33.11,,5.78,,,,,,,,,
静岡,静岡3区,立民,47.26,52.74,,,,,,,,,,,
静岡,静岡4区,自民,53.3,,,,15.48,31.23,,,,,,,
静岡,静岡5区,無,24.91,21.1,,,,,,,,,2.17,,51.81
静岡,静岡6区,自民,46.09,44.14,,,9.77,,,,,,,,
静岡,静岡7区,自民,68.16,31.84,,,,,,,,,,,
静岡,静岡8区,立民,44.18,55.82,,,,,,,,,,,
愛知,愛知1区,自民,48.81,47.57,,,,,,,,3.62,,,
愛知,愛知2区,国民,37.67,,,,,62.33,,,,,,,
愛知,愛知3区,立民,45.04,54.96,,,,,,,,,,,
愛知,愛知4区,自民,43.72,40.79,,,15.49,,,,,,,,
愛知,愛知5区,自民,41.16,36.61,,,22.23,,,,,,,,
愛知,愛知6区,自民,58.35,32.96,,8.7,,,,,,,,,
愛知,愛知7区,自民,54.7,33.6,,11.7,,,,,,,,,
愛知,愛知8区,自民,50.22,49.78,,,,,,,,,,,
愛知,愛知9区,自民,52.74,47.26,,,,,,,,,,,
愛知,愛知10区,自民,35.01,23.04,,5.87,27.02,,9.06,,,,,,
愛知,愛知11区,自民,69.07,,,16.08,,,,,,,,,14.86
愛知,愛知12区,立民,47.33,52.67,,,,,,,,,,,
愛知,愛知13区,立民,47.28,52.72,,,,,,,,,,,
愛知,愛知14区,自民,62.96,32.8,,4.24,,,,,,,,,
愛知,愛知15区,自民,52.41,40.63,,,,,6.96,,,,,,
岐阜,岐阜1区,自民,62.54,29.3,,5.93,,,,,,,2.23,,
岐阜,岐阜2区,自民,65.79,,,9.91,,24.31,,,,,,,
岐阜,岐阜3区,自民,58.57,41.43,,,,,,,,,,,
岐阜,岐阜4区,自民,51.23,42.22,,,6.55,,,,,,,,
