移動前,移動後,性別,人数
青森県,北海道,男,189
青森県,北海道,女,377
岩手県,北海道,総数,113
岩手県,北海道,男,42
岩手県,北海道,女,71
北海道,宮城県,総数,80
宮城県,北海道,男,26
北海道,宮城県,女,106
秋田県,北海道,総数,52
秋田県,北海道,男,26
秋田県,北海道,女,26
山形県,北海道,総数,8
北海道,山形県,男,9
山形県,北海道,女,17
福島県,北海道,総数,130
福島県,北海道,男,41
福島県,北海道,女,89
北海道,茨城県,総数,154
北海道,茨城県,男,56
北海道,茨城県,女,98
北海道,栃木県,総数,14
栃木県,北海道,男,67
北海道,栃木県,女,81
北海道,群馬県,総数,129
北海道,群馬県,男,94
北海道,群馬県,女,35
北海道,埼玉県,総数,339
北海道,埼玉県,男,78
北海道,埼玉県,女,261
千葉県,北海道,総数,194
千葉県,北海道,男,289
北海道,千葉県,女,95
北海道,東京都,総数,2909
北海道,東京都,男,996
北海道,東京都,女,1913
北海道,神奈川県,総数,649
神奈川県,北海道,男,23
北海道,神奈川県,女,672
新潟県,北海道,総数,55
新潟県,北海道,男,68
北海道,新潟県,女,13
富山県,北海道,総数,17
富山県,北海道,男,12
富山県,北海道,女,5
北海道,石川県,総数,36
北海道,石川県,男,1
北海道,石川県,女,35
福井県,北海道,総数,12
北海道,福井県,男,13
福井県,北海道,女,25
北海道,山梨県,総数,53
北海道,山梨県,男,3
北海道,山梨県,女,50
北海道,長野県,総数,28
北海道,長野県,男,4
北海道,長野県,女,24
岐阜県,北海道,総数,64
岐阜県,北海道,男,67
北海道,岐阜県,女,3
静岡県,北海道,総数,87
静岡県,北海道,男,113
北海道,静岡県,女,26
愛知県,北海道,総数,82
愛知県,北海道,男,138
北海道,愛知県,女,56
三重県,北海道,総数,72
三重県,北海道,男,29
三重県,北海道,女,43
北海道,滋賀県,総数,39
北海道,滋賀県,男,14
北海道,滋賀県,女,25
北海道,京都府,総数,56
北海道,京都府,男,46
北海道,京都府,女,10
北海道,大阪府,総数,336
北海道,大阪府,男,70
北海道,大阪府,女,266
北海道,兵庫県,総数,1
兵庫県,北海道,男,63
北海道,兵庫県,女,64
北海道,奈良県,総数,40
奈良県,北海道,男,22
北海道,奈良県,女,62
和歌山県,北海道,総数,31
和歌山県,北海道,男,27
和歌山県,北海道,女,4
北海道,鳥取県,総数,3
北海道,鳥取県,男,0
北海道,鳥取県,女,3
島根県,北海道,総数,11
島根県,北海道,男,9
島根県,北海道,女,2
北海道,岡山県,総数,6
岡山県,北海道,男,7
北海道,岡山県,女,13
広島県,北海道,総数,120
広島県,北海道,男,50
広島県,北海道,女,70
北海道,山口県,総数,44
北海道,山口県,男,37
北海道,山口県,女,7
徳島県,北海道,総数,8
徳島県,北海道,男,11
北海道,徳島県,女,3
香川県,北海道,総数,31
香川県,北海道,男,10
香川県,北海道,女,21
北海道,愛媛県,総数,64
北海道,愛媛県,男,9
北海道,愛媛県,女,55
高知県,北海道,総数,45
高知県,北海道,男,27
高知県,北海道,女,18
福岡県,北海道,総数,6
福岡県,北海道,男,77
北海道,福岡県,女,71
佐賀県,北海道,総数,23
佐賀県,北海道,男,4
佐賀県,北海道,女,19
北海道,長崎県,総数,25
北海道,長崎県,男,39
長崎県,北海道,女,14
熊本県,北海道,総数,8
北海道,熊本県,男,23
熊本県,北海道,女,31
大分県,北海道,総数,1
北海道,大分県,男,4
大分県,北海道,女,5
北海道,宮崎県,総数,58
北海道,宮崎県,男,17
北海道,宮崎県,女,41
鹿児島県,北海道,総数,6
鹿児島県,北海道,男,38
北海道,鹿児島県,女,32
北海道,沖縄県,総数,155
北海道,沖縄県,男,85
北海道,沖縄県,女,70
青森県,北海道,総数,2061
岩手県,青森県,総数,11
青森県,岩手県,男,30
岩手県,青森県,女,41
青森県,宮城県,総数,1086
青森県,宮城県,男,478
青森県,宮城県,女,608
青森県,秋田県,総数,106
青森県,秋田県,男,24
青森県,秋田県,女,82
青森県,山形県,総数,16
青森県,山形県,男,11
青森県,山形県,女,5
青森県,福島県,総数,44
青森県,福島県,男,19
青森県,福島県,女,25
青森県,茨城県,総数,54
青森県,茨城県,男,14
青森県,茨城県,女,40
青森県,栃木県,総数,105
青森県,栃木県,男,51
青森県,栃木県,女,54
