市区町村コード,市区町村,寄付額,控除額,寄付－控除額
01100,北海道 札幌市,613985,5135221,-4521236
01202,北海道 函館市,911740,247971,663769
01203,北海道 小樽市,368234,70424,297810
01204,北海道 旭川市,1801357,386550,1414807
01205,北海道 室蘭市,36236,75093,-38857
01206,北海道 釧路市,1052795,146776,906019
01207,北海道 帯広市,591150,249717,341433
01208,北海道 北見市,637675,89816,547859
01209,北海道 夕張市,366844,1281,365563
01210,北海道 岩見沢市,485872,56005,429867
01211,北海道 網走市,1945162,27913,1917249
01212,北海道 留萌市,457588,15368,442220
01213,北海道 苫小牧市,581564,163566,417998
01214,北海道 稚内市,2608893,39485,2569408
01215,北海道 美唄市,1079134,9151,1069983
01216,北海道 芦別市,85445,3900,81545
01217,北海道 江別市,394921,104028,290893
01218,北海道 赤平市,767051,3194,763857
01219,北海道 紋別市,13392711,17562,13375149
01220,北海道 士別市,73472,10442,63030
01221,北海道 名寄市,54829,22764,32065
01222,北海道 三笠市,239162,2378,236784
01223,北海道 根室市,12545869,18353,12527516
01224,北海道 千歳市,3223686,117612,3106074
01225,北海道 滝川市,1454601,28624,1425977
01226,北海道 砂川市,500522,12804,487718
01227,北海道 歌志内市,6780,630,6150
01228,北海道 深川市,417717,11791,405926
01229,北海道 富良野市,95675,14347,81328
01230,北海道 登別市,823661,29106,794555
01231,北海道 恵庭市,1163488,69771,1093717
01233,北海道 伊達市,64013,16858,47155
01234,北海道 北広島市,275865,60702,215163
01235,北海道 石狩市,365000,39934,325066
01236,北海道 北斗市,71126,23167,47959
01303,北海道 石狩郡 当別町,1948520,14634,1933886
01304,北海道 石狩郡 新篠津村,81781,738,81043
01331,北海道 松前郡 松前町,35080,1661,33419
01332,北海道 松前郡 福島町,43484,852,42632
01333,北海道 上磯郡 知内町,178798,927,177871
01334,北海道 上磯郡 木古内町,34171,1613,32558
01337,北海道 亀田郡 七飯町,33198,15442,17756
01343,北海道 茅部郡 鹿部町,612496,1232,611264
01345,北海道 茅部郡 森町,1915527,5560,1909967
01346,北海道 二海郡 八雲町,1936493,9066,1927427
01347,北海道 山越郡 長万部町,49771,1409,48362
01361,北海道 檜山郡 江差町,55201,5109,50092
01362,北海道 檜山郡 上ノ国町,46263,1358,44905
01363,北海道 檜山郡 厚沢部町,29807,1727,28080
01364,北海道 爾志郡 乙部町,58573,1003,57570
