国名,国名（英文）,2019年12月,2022年12月,伸率（％）
韓国,South Korea,247959,456100,83.9
中国,China,710234,33500,-95.3
台湾,Taiwan,348269,170200,-51.1
香港,Hong Kong,249642,141300,-43.4
タイ,Thailand,164936,83000,-49.7
シンガポール,Singapore,100376,67000,-33.3
マレーシア,Malaysia,78250,36200,-53.7
インドネシア,Indonesia,59203,34400,-41.9
フィリピン,Philippines,81542,40000,-50.9
ベトナム,Vietnam,30606,28200,-7.9
インド,India,11739,7400,-37.0
豪州,Australia,72653,41800,-42.5
米国,U.S.A.,144498,109500,-24.2
カナダ,Canada,35132,20600,-41.4
メキシコ,Mexico,6499,2500,-61.5
英国,United Kingdom,27750,15300,-44.9
フランス,France,20261,10800,-46.7
ドイツ,Germany,13639,7700,-43.5
イタリア,Italy,11196,4900,-56.2
スペイン,Spain,7295,3500,-52.0
ロシア,Russia,8833,1600,-81.9
中東地域,Middle East ,5554,4800,-13.6
