Show name,言語,6/28 〜 7/04,7/05 〜 7/11,7/12 〜 7/18,7/19 〜 7/25,7/26 〜 8/01,8/02 〜 8/08,8/09 〜 8/15,8/16 〜 8/22,8/23 〜 8/29,8/30 〜 9/05,9/06 〜 9/12,9/13 〜 9/19,9/20 〜 9/26,9/27 〜 10/03,10/04 〜 10/10,10/11 〜 10/17,10/18 〜 10/24,10/25 〜 10/31,11/01 〜 11/07,11/08 〜 11/14
A Tale Dark & Grimm: Season 1,英語,,,,,,,,,,,,,,,,18730000,,,,
Alice in Borderland: Season 1,英語以外,,,,,,,,,,,,,10890000,26280000,22220000,16310000,8700000,,,
All American: Season 3,英語,,,,,43970000,33020000,20870000,14990000,10480000,,,,,,,,,,,
AlRawabi School for Girls: Limited Series,英語以外,,,,,,,11620000,18070000,11500000,,,,,,,,,,,
Another Life: Season 2,英語,,,,,,,,,,,,,,,,,15760000,,,
Arcane: Season 1,英語,,,,,,,,,,,,,,,,,,,,34170000
Atypical: Season 4,英語,,20620000,29680000,15920000,,,,,,,,,,,,,,,,
Bake Squad: Season 1,英語,,,,,,,,13220000,,,,,,,,,,,,
Baki Hanma: Season 1,英語以外,,,,,,,,,,,,,,20090000,14560000,,,,,
Big Mouth: Season 5,英語,,,,,,,,,,,,,,,,,,,19570000,25390000
Biohackers: Season 2,英語以外,,,7500000,,,,,,,,,,,,,,,,,
Blood & Water: Season 2,英語,,,,,,,,,,,,,,15870000,,,,,,
Brand New Cherry Flavor: Limited Series,英語,,,,,,,,11140000,,,,,,,,,,,,
Car Masters: Rust to Riches: Season 3,英語,,,,,,13930000,,,,,,,,,,,,,,
Carinha de Anjo: Season 1,英語以外,,,,,,,,,,,,,,,10240000,12760000,13930000,14070000,14090000,13660000
Clickbait: Limited Series,英語,,,,,,,,,51280000,76540000,54420000,35020000,22150000,13210000,,,,,,
Cocaine Cowboys: The Kings of Miami: Limited Series,英語,,,,,,18890000,13870000,,,,,,,,,,,,,
CoComelon: Season 1,英語,,,,,,,,,,9140000,,,,,,,,,,
CoComelon: Season 3,英語,11430000,,,,,,,10990000,11030000,11050000,,,,10690000,,,,,,
CoComelon: Season 4,英語,,,,,,,,,,,,,,,,,15930000,13710000,,
Control Z: Season 1,英語以外,,,,,,8580000,,,,,,,,,,,,,,
Control Z: Season 2,英語以外,,,,,,25430000,16400000,8250000,,,,,,,,,,,,
D.P.: Season 1,英語以外,,,,,,,,,8430000,19170000,,,,,,,,,,
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",英語以外,,,,,,,,,,,,,,,,,,,7940000,6060000
Dive Club: Season 1,英語,,,,,,,,,,,11480000,,,,,,,,,
Dynasty: Season 4,英語,,,,,,,,,,,,,,,,,19970000,47820000,32050000,21020000
Elite: Season 1,英語以外,10530000,,,,,,,,,,,,,,,,,,,
Elite: Season 2,英語以外,10140000,,,,,,,,,,,,,,,,,,,
Elite: Season 3,英語以外,10200000,,,,,,,,,,,,,,,,,,,
Elite: Season 4,英語以外,38720000,21780000,14240000,9410000,6920000,,,,,,,,,,,,,,,
Elize Matsunaga: Once Upon a Crime: Season 1,英語以外,,11700000,12510000,,,,,,,,,,,,,,,,,
For Life: Season 1,英語,,,,,,,13790000,14540000,11180000,,,,,,,,,,,
Gabby's Dollhouse: Season 2,英語,,,,,,,13170000,12180000,,,,,,,,,,,,
Ganglands: Season 1,英語以外,,,,,,,,,,,,,16260000,27030000,11210000,,,,,
Gone for Good: Limited Series,英語以外,,,,,,,9750000,14920000,,,,,,,,,,,,
Good Girls: Season 1,英語,,,,,,,,,,9590000,,,,,,,,,,
Good Girls: Season 4,英語,,,,,,,,,,37580000,31750000,19310000,12920000,,,,,,,
Grey's Anatomy: Season 17,英語,,,,,,,,,,,,,,18680000,29650000,15990000,,,,
Heist: Season 1,英語,,,18710000,15390000,,,,,,,,,,,,,,,,
Hit & Run: Season 1,英語,,,,,,23570000,45190000,20660000,10090000,,,,,,,,,,,
Hometown Cha-Cha-Cha: Season 1,英語以外,,,,,,,,,,9630000,14870000,18580000,23360000,28330000,32890000,37740000,31840000,18290000,16010000,13820000
Hospital Playlist: Season 2,英語以外,,,8530000,8070000,,,9500000,10340000,10980000,,11590000,13050000,,,,,,,,
Hotel Del Luna: Season 1,英語以外,,,,,,,,,,,9980000,,,,,,,,,
House of Secrets: The Burari Deaths: Limited Series,英語以外,,,,,,,,,,,,,,,,9220000,,,,
How to Sell Drugs Online (Fast): Season 3,英語以外,,,,,16470000,8580000,,,,,,,,,,,,,,
Hunter X Hunter (2011): Season 5,英語以外,,,,,,9610000,,,,,,,,,,,,,,
Inside Job: Part 1,英語,,,,,,,,,,,,,,,,,,21240000,,
Into the Night: Season 2,英語以外,,,,,,,,,,,10630000,,,,,,,,,
Jaguar: Season 1,英語以外,,,,,,,,,,,,,11620000,,,,,,,
Katla: Season 1,英語以外,9190000,,,,,,,,,,,,,,,,,,,
Locke & Key: Season 1,英語,,,,,,,,,,,,,,,,,15710000,24590000,15950000,
Locke & Key: Season 2,英語,,,,,,,,,,,,,,,,,35530000,56490000,32250000,18770000
Love 101: Season 2,英語以外,,,,,,,,,,,,,,12600000,,,,,,
Love Is Blind: Season 1,英語,,,,,19370000,,,,,,,,,,,,,,,
Love Is Blind: Brazil: Season 1,英語以外,,,,,,,,,,,,,,,,13770000,16290000,9130000,,
Lucifer: Season 1,英語,,,,,,,,,,,,11560000,,,,,,,,
Lucifer: Season 3,英語,9550000,,,,,,,,,,,,,,,,,,,
Lucifer: Season 5,英語,16890000,13440000,,,,,,,,,12260000,16240000,12180000,,,,,,,
Lucifer: Season 6,英語,,,,,,,,,,,75940000,98140000,42990000,25110000,16730000,,,,,
Luis Miguel - The Series: Season 3,英語以外,,,,,,,,,,,,,,,,,,9990000,9720000,
Lupin: Part 2,英語以外,20970000,13150000,9280000,6840000,,,,,,,,,,,,,,,,
Maid: Limited Series,英語,,,,,,,,,,,,,,61080000,166520000,129280000,79040000,56700000,41290000,29480000
Manifest: Season 1,英語,36330000,31940000,21350000,16220000,,,,,12410000,10320000,,,,,,,,,,
Manifest: Season 2,英語,21330000,20070000,,,,,,,,,,,,,,,,,,
Manifest: Season 3,英語,,,,,,,,,17740000,15660000,11150000,,,,,,,,,
Maya and the Three: Limited Series,英語,,,,,,,,,,,,,,,,,,34000000,21470000,
Midnight Mass: Limited Series,英語,,,,,,,,,,,,,33200000,59120000,29020000,20940000,,,,
Money Heist: Part 1,英語以外,,,,,,,,,,22710000,38030000,19340000,12150000,9370000,,,,,,
Money Heist: Part 2,英語以外,,,,,,,,,,,16720000,11940000,,,,,,,,
Money Heist: Part 3,英語以外,,,,,,,,,,7070000,14410000,11490000,,,,,,,,
Money Heist: Part 4,英語以外,,,,,,,,,,14870000,16720000,12270000,8680000,,,,,,,
Money Heist: Part 5,英語以外,,,,,,,,,,201910000,123170000,39910000,21830000,14250000,9730000,,,,,
Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,英語,,,,,,,,,,,,,15150000,,,,,,,
My Name: Season 1,英語以外,,,,,,,,,,,,,,,,41780000,84530000,38580000,18430000,10820000
Narcos: Mexico: Season 1,英語,,,,,,,,,,,,,,,,,,,,15570000
Narcos: Mexico: Season 3,英語,,,,,,,,,,,,,,,,,,,28150000,50290000
Never Have I Ever: Season 1,英語,,,,17400000,,,,,,,,,,,,,,,,
