年,月日,気温
1876,6月1日,17
1876,6月2日,19.1
1876,6月3日,17.9
1876,6月4日,18.8
1876,6月5日,19.1
1876,6月6日,20.8
1876,6月7日,16.7
1876,6月8日,18.7
1876,6月9日,16.8
1876,6月10日,18.2
1876,6月11日,18.7
1876,6月12日,17.7
1876,6月13日,16.5
1876,6月14日,18.3
1876,6月15日,19.7
1876,6月16日,18.2
1876,6月17日,19.7
1876,6月18日,21.3
1876,6月19日,19
1876,6月20日,20.6
1876,6月21日,20.9
1876,6月22日,18.4
1876,6月23日,18.3
1876,6月24日,19
1876,6月25日,18.4
1876,6月26日,14.4
1876,6月27日,16.4
1876,6月28日,19.1
1876,6月29日,20.2
1876,6月30日,15.8
1876,7月1日,19.9
1876,7月2日,19.8
1876,7月3日,18.6
1876,7月4日,17.6
1876,7月5日,20.3
1876,7月6日,24.5
1876,7月7日,22.8
1876,7月8日,22.6
1876,7月9日,22.9
1876,7月10日,24
1876,7月11日,24.9
1876,7月12日,25.4
1876,7月13日,25.3
1876,7月14日,25.6
1876,7月15日,25.9
1876,7月16日,25.8
1876,7月17日,24.2
1876,7月18日,25.5
1876,7月19日,25.7
1876,7月20日,26.2
1876,7月21日,25.4
1876,7月22日,25.1
1876,7月23日,26.1
1876,7月24日,26.3
1876,7月25日,26
1876,7月26日,26.1
1876,7月27日,25.6
1876,7月28日,26.3
1876,7月29日,25.9
1876,7月30日,25.9
1876,7月31日,26.2
1876,8月1日,26.5
1876,8月2日,26.3
1876,8月3日,27.4
1876,8月4日,27.7
1876,8月5日,27.1
1876,8月6日,26.7
1876,8月7日,28.2
1876,8月8日,28.9
1876,8月9日,28.8
1876,8月10日,27.3
1876,8月11日,26.9
1876,8月12日,26.7
1876,8月13日,26.3
1876,8月14日,26.3
1876,8月15日,26.9
1876,8月16日,27.2
1876,8月17日,27.9
1876,8月18日,28.8
1876,8月19日,27.4
1876,8月20日,26.4
1876,8月21日,24.4
1876,8月22日,25.7
1876,8月23日,25.3
1876,8月24日,25.3
1876,8月25日,25.4
1876,8月26日,25.1
1876,8月27日,25.4
1876,8月28日,25.9
1876,8月29日,25.9
1876,8月30日,25.4
1876,8月31日,26.5
1876,9月1日,25.9
1876,9月2日,25.8
1876,9月3日,25.8
1876,9月4日,26.3
1876,9月5日,26.6
1876,9月6日,26.8
1876,9月7日,25.8
1876,9月8日,24.7
1876,9月9日,24.7
1876,9月10日,23.7
1876,9月11日,25.6
1876,9月12日,25.8
1876,9月13日,26.8
1876,9月14日,25.8
1876,9月15日,22.1
1876,9月16日,19.9
1876,9月17日,22.9
1876,9月18日,21.9
1876,9月19日,20.3
1876,9月20日,17.3
1876,9月21日,17.2
1876,9月22日,18.3
1876,9月23日,17.6
1876,9月24日,17.7
1876,9月25日,20.6
1876,9月26日,22.4
1876,9月27日,23
1876,9月28日,NaN
1876,9月29日,19.6
1876,9月30日,14.7
1877,6月1日,18
1877,6月2日,18.9
1877,6月3日,21.8
1877,6月4日,21.4
