チェーン,店名,住所,緯度,経度
富士そば,富士見台店,練馬区貫井3-2-8,35.73542,139.6294263
富士そば,石神井公園店,練馬区石神井町3-24-9 山喜ビル,35.7435211,139.6056642
富士そば,代々木八幡店,渋谷区富ヶ谷1-53-3 横川ビル,35.669176,139.6883935
富士そば,道玄坂店,渋谷区道玄坂1-5-3 権トラストビル1F,35.6578693,139.69959
富士そば,笹塚店,渋谷区笹塚1-56-1 NH駅前ビル１階,35.6739914,139.6674035
富士そば,代々木店,渋谷区代々木1-32-12 HOUWAビル,35.6826581,139.7020694
富士そば,渋谷東口店,渋谷区渋谷3-18-5 佐藤エステートビル,35.6572917,139.7035952
富士そば,明治通り店,渋谷区渋谷1-14-15 森ビル1階,35.6601219,139.7025952
富士そば,渋谷桜丘店,渋谷区桜丘町25-17 加藤ビル101号,35.6568278,139.7003289
富士そば,代官山店,渋谷区恵比寿南1-2-9 岡田ビル1F,35.6460682,139.7077646
富士そば,恵比寿駅前店,渋谷区恵比寿1-8-18 K-1ビル,35.6478681,139.7099088
富士そば,恵比寿店,渋谷区恵比寿1-5-2 第2こうげつビル,35.6475348,139.7108615
富士そば,渋谷下田ビル店,渋谷区宇田川町35-6 下田ビル,35.6615216,139.6967929
富士そば,神楽坂店,新宿区神楽坂1-9 神楽坂下 信号近く,35.7002655,139.7427956
富士そば,小滝橋店,新宿区西新宿7-10-20 ワセダSTビル,35.6942399,139.6986554
富士そば,飯田橋店,新宿区揚場町1-15,35.7024736,139.7440066
富士そば,市ヶ谷店,新宿区市ヶ谷八幡町1,35.6924635,139.7350687
富士そば,大久保店,新宿区百人町2-23-1 大久保ビル,35.7018695,139.6968998
富士そば,新宿都庁店,新宿区西新宿1-19-12 鮎沢ビル,35.6883267,139.6967864
富士そば,高田馬場駅前店,新宿区高田馬場3-2-1 大和ビル,35.7139712,139.7036956
富士そば,高田馬場店,新宿区高田馬場2-17-6 ゆう文ビル,35.7135269,139.7052316
富士そば,三光町店,新宿区新宿5-16-5,35.6926209,139.7060741
富士そば,新宿店,新宿区新宿3-14-25 パークシティ3,35.6920765,139.7051298
富士そば,西武新宿店,新宿区歌舞伎町2-46-8 新宿日章ビル,35.6978257,139.7007245
富士そば,新井薬師店,中野区上高田3-41-8 駅前共同ビル1階,35.7156534,139.6719206
富士そば,中野店,中野区中野5-65-12,35.707018,139.6655937
富士そば,昭和通り店,東京都千代田区神田和泉町1-2 秋山ビル,35.6990167,139.7774213
富士そば,秋葉原電気街店,千代田区外神田1-14-1 宝田中央通ビル,35.6983388,139.771505
富士そば,水道橋店,千代田区三崎町2-1-16,35.7000993,139.7556365
富士そば,後楽園店,千代田区三崎町2-19-7 第110東京ビル,35.7016573,139.7524894
富士そば,秋葉原店,千代田区神田平河町4-8-5 三光白衣秋葉原ビル,35.6982612,139.775802
富士そば,お茶の水店,千代田区神田駿河台2-2-1 国井ビル,35.6989524,139.7631389
富士そば,神田店,千代田区内神田3-20-1 神田駅北口すぐそば,35.692659,139.7709247
富士そば,虎ノ門店,東京都港区虎ノ門1-1-15 天吉ビル1F,35.6700278,139.7513017
富士そば,品川店,東京都港区港南２-14-10,35.6286769,139.7420316
富士そば,赤坂見附店,東京都港区赤坂3-9-8 篠原ビル1F 赤坂見附駅エスプラナード赤坂通り,35.6766349,139.736636
富士そば,浜松町店,東京都港区浜松町2丁目1-1 No.R hamamatsucho 大門交差点角,35.6565961,139.7550989
富士そば,銀座店,東京都港区新橋2-18-3 胡萩堂ビル1Ｆ,35.6669978,139.7590623
富士そば,新橋店,東京都港区新橋2-15-12 中原ビル,35.6663617,139.7563041
富士そば,神谷町店,港区虎ノ門5-2-3,35.6632256,139.7450413
富士そば,六本木店,港区六本木7-14-10 山室ビル,35.6632863,139.7318064
富士そば,新橋駅前店,港区新橋2-6-7 花菱ビル,35.6674893,139.7572652
富士そば,田町店,港区芝浦3-1-32 なぎさテラス104,35.6449251,139.748361
